Date,Day,Treatment,Area,Transect,Quadrat,Tidal_height_quad_ft,Tidal_height_quad_m,S_sessilis,C_vancourveriensis,Bossiella,Polysiphonia,Microcladia,Encrusting_c,Encrusting_n_c,Limpets,A_m,Phyllospadix,Katharina,Tonicella,Mopalia
2018,05/04,Control,A,1,3,NA,NA,0,7,7,0,0,35,1,48,0,3,10,4,0
1979,05/16,Control,A,2,4,-0.8,-0.24384,3,3,1,0,0,20,3,20,2,0,10,2,
1979,05/15,Removal,A,2,2,0.6,0.18288,40,23,3,0,0,17,5,7,0,0,9,2,
1979,05/16,Control,A,2,2,0.4,0.12192,5,2,0,0,0,20,7,35,1,0,8,0,
2018,05/15,Control,A,2,8,-0.204216,-0.204216,5,10,5,0,0,50,5,23,0,0,8,0,0
2018,05/04,Control,B,1,6,NA,NA,60,17,1,0,0,40,50,8,0,0,8,1,1
1979,05/15,Removal,B,2,3,0,0,5,12,15,0,0,15,20,6,0,0,8,5,
1979,05/16,Control,B,1,1,0.2,0.06096,20,5,1,0,0,15,30,4,2,0,8,0,
2018,05/18,Removal,A,2,30,0.55,0.16764,60,10,20,5,0,15,30,2,0,0,8,0,0
2018,05/15,Control,A,2,7,-0.204216,-0.204216,0,3,0,0,0,20,0,46,0,15,7,1,0
1979,05/15,Removal,A,1,3,0.1,0.03048,20,5,5,0,0,35,15,20,3,0,7,6,
2018,05/04,Control,A,1,1,NA,NA,10,7,3,0,0,7,0,5,0,1,7,0,0
1979,05/15,Removal,B,2,4,-1,-0.3048,12,1,5,0,0,15,20,4,2,0,7,6,
1979,05/16,Control,B,2,4,-0.7,-0.21336,40,3,7,0,0,7,30,2,3,0,7,0,
2018,05/15,Control,A,2,10,-0.013,-0.204216,35,5,0,0,0,30,5,48,0,0,6,1,0
1979,05/16,Control,A,1,4,-0.8,-0.24384,30,5,10,0,2,10,20,15,0,0,6,5,
1979,05/16,Control,B,1,3,-0.5,-0.1524,35,12,3,0,0,10,20,5,4,0,6,4,
1979,05/15,Removal,A,2,4,0,0,60,10,9,0,0,20,5,4,0,0,6,3,
1979,05/16,Control,B,1,2,-0.3,-0.09144,10,12,10,3,0,15,15,4,6,0,6,5,
1979,05/16,Control,B,1,4,-1,-0.3048,10,1,0,0,0,7,75,3,1,2,6,5,
2018,05/04,Control,A,1,4,NA,NA,0,1,0,0,0,0,1,133,0,1,5,2,1
2018,05/18,Removal,A,2,32,0.62,0.188976,3,0,1,20,0,1,40,47,0,0,5,1,0
2018,05/16,Control,B,1,15,0.83,-0.204216,20,7,5,5,0,10,15,39,0,0,5,0,0
1979,05/16,Control,B,2,3,0.4,0.12192,25,10,4,0,0,4,60,18,0,0,5,1,
1979,05/15,Removal,A,1,1,2.3,0.70104,0,5,0,5,0,8,15,18,0,0,5,0,
2018,05/16,Removal,A,1,25,-0.15,-0.04572,6,0,0,8,0,5,95,15,0,0,5,0,0
1979,05/15,Removal,A,2,3,0,0,20,2,6,2,0,15,5,10,2,0,5,7,
1979,05/16,Control,B,2,2,0.7,0.21336,40,10,1,1,0,30,12,5,2,0,5,6,
1979,05/15,Removal,A,1,5,-0.6,-0.18288,8,2,2,0,0,50,3,5,1,5,5,1,
2018,05/18,Removal,A,1,29,0.396,0.1207008,35,10,0,0,0,10,30,3,0,25,5,2,0
2018,05/15,Removal,B,2,12,-0.247,-0.204216,95,10,10,0,0,40,20,0,0,0,5,0,0
2018,05/16,Removal,B,1,24,0.56,0.170688,45,0,10,0,0,40,20,0,0,0,5,0,0
1979,05/15,Removal,B,1,4,-0.8,-0.24384,15,4,8,0,2,15,35,0,3,0,5,4,
2018,05/04,Control,A,1,2,NA,NA,0,0,0,0,0,0,0,43,0,8,4,0,0
1979,05/15,Removal,A,2,5,-0.2,-0.06096,2,3,5,2,0,12,15,22,1,0,4,0,
1979,05/15,Removal,B,1,2,0.1,0.03048,2,5,2,0,2,5,40,20,1,0,4,1,
1979,05/15,Removal,A,1,4,-0.2,-0.06096,20,12,8,3,0,10,5,13,1,0,4,3,
2018,05/16,Removal,B,1,22,-0.72,-0.219456,10,5,3,5,0,5,0,8,0,0,4,0,0
1979,05/15,Removal,B,2,2,1,0.3048,0,3,0,40,5,0,50,75,0,0,3,0,
2018,05/04,Control,B,1,5,NA,NA,7,2,0,4,0,1,100,37,0,0,3,1,0
2018,05/16,Control,B,2,18,-0.23,-0.070104,0,0,0,3,0,0,60,35,0,0,3,0,1
2018,05/16,Control,B,2,19,-0.03,-0.009144,0,0,0,5,0,0,50,23,0,0,3,0,0
1979,05/16,Control,A,2,3,-0.1,-0.03048,10,3,3,5,0,30,3,22,0,0,3,2,
1979,05/15,Removal,A,1,2,1.1,0.33528,60,5,0,0,0,10,10,21,1,0,3,0,
2018,05/15,Removal,B,2,13,-0.117,-0.204216,85,2,0,2,0,10,0,8,0,0,3,0,0
1979,05/15,Removal,B,1,3,-0.3,-0.09144,40,5,3,0,0,2,100,0,0,0,3,6,
2018,05/15,Control,A,2,9,0.021336,-0.204216,0,0,0,0,0,0,1,67,0,0,2,0,0
1979,05/15,Removal,B,1,1,1.1,0.33528,0,0,0,10,0,0,60,45,0,0,2,0,
1979,05/16,Control,A,1,2,-0.7,-0.21336,40,5,7,4,0,25,2,18,1,0,2,2,
2018,05/16,Removal,A,1,27,2.43,0.740664,0,0,5,0,20,3,0,12,0,0,2,0,0
1979,05/16,Control,A,1,3,-0.4,-0.12192,10,5,2,3,0,12,7,9,1,0,2,2,
2018,05/16,Removal,B,1,23,0.56,0.170688,5,0,0,20,0,0,90,9,0,0,2,0,0
2018,05/16,Control,B,1,16,-0.78,-0.237744,0,0,4,0,0,7,30,0,0,90,2,1,0
1979,05/15,Removal,A,2,1,1.3,0.39624,0,0,5,8,20,1,25,45,0,0,1,0,
2018,05/16,Control,B,2,20,0.82,0.249936,0,0,0,50,0,0,20,32,0,0,1,0,0
1979,05/16,Control,A,1,1,0,0,5,3,3,1,0,20,40,30,2,0,1,1,
2018,05/15,Removal,B,2,14,0.534,-0.204216,30,0,5,25,0,10,0,5,0,0,1,1,0
2018,05/16,Removal,A,1,28,2.63,0.801624,5,0,0,25,25,0,50,4,0,0,1,0,0
2018,05/18,Removal,A,2,31,-0.21,-0.064008,40,1,1,0,0,45,1,3,0,25,1,1,0
2018,05/15,Removal,B,2,11,0.336,-0.204216,10,3,3,0,10,5,5,1,0,0,1,0,0
2018,05/18,Removal,A,2,34,1.95,0.59436,0,0,0,7,0,0,5,119,0,0,0,0,0
1979,05/16,Control,B,2,1,1.4,0.42672,0,0,0,20,0,0,70,80,0,0,0,0,
1979,05/15,Removal,B,2,1,1.3,0.39624,0,0,1,50,0,0,25,60,0,0,0,0,
2018,05/16,Removal,A,1,26,2.27,0.691896,0,0,3,60,10,10,5,28,0,0,0,0,0
2018,05/18,Removal,A,2,33,0.62,0.188976,0,0,0,1,0,0,30,19,0,0,0,0,0
2018,05/16,Control,B,2,17,-0.26,-0.079248,3,0,0,0,0,0,90,9,0,0,0,0,0
1979,05/16,Control,A,2,1,0.5,0.1524,0,7,3,0,0,15,12,7,0,0,0,0,
2018,05/16,Removal,B,1,21,0.513,0.1563624,15,0,0,40,0,0,10,4,0,0,0,0,0